JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed
138,12,82,2,9.1,Private,Urban,Yes,No,Low,Low,84,19,Female,Low,Primary,1
155,19,77,1,5.9,Public,Urban,Yes,Yes,High,Low,85,16,Female,High,Secondary,1
298,40,95,3,8.7,Public,Rural,Yes,Yes,Low,High,86,17,Male,Medium,Secondary,4
191,15,80,1,18.0,Private,Urban,No,Yes,Medium,Medium,87,18,Male,High,Tertiary,3
236,16,93,5,7.3,Public,Urban,Yes,Yes,High,High,88,18,Male,High,Secondary,1
100,16,91,3,11.1,Public,Rural,Yes,No,Low,Low,89,16,Male,Medium,None,2
201,6,79,5,10.5,Public,Urban,Yes,Yes,High,Medium,90,16,Male,Medium,Secondary,1
189,18,84,3,12.6,Private,Rural,No,Yes,Medium,Low,91,18,Female,Low,None,2
131,18,86,3,10.0,Private,Urban,Yes,Yes,High,Low,92,18,Male,Low,None,3
154,15,79,2,7.6,Public,Urban,Yes,Yes,Low,Low,93,19,Female,Medium,Tertiary,1
116,1,85,3,0.0,Public,Rural,Yes,No,High,Medium,94,16,Male,High,Tertiary,1
123,30,86,1,10.0,Public,Urban,Yes,Yes,Medium,Medium,95,20,Male,Medium,Primary,5
197,22,96,1,2.0,Private,Rural,Yes,Yes,Medium,Medium,96,16,Female,Medium,Tertiary,2
110,27,75,1,8.8,Public,Rural,Yes,Yes,Medium,High,97,19,Male,High,Secondary,1
115,12,72,1,11.1,Private,Urban,No,Yes,Low,Medium,98,16,Male,Low,None,1
158,10,80,4,9.4,Public,Rural,No,No,Low,Medium,99,15,Male,Medium,Secondary,1
228,26,78,5,15.7,Public,Rural,No,Yes,Low,High,100,21,Female,Medium,Tertiary,1
158,16,89,1,8.6,Public,Urban,No,Yes,Low,Medium,101,17,Male,Low,Primary,1
225,13,76,4,19.6,Public,Urban,No,No,Medium,High,102,15,Male,High,Tertiary,2
118,28,100,3,15.0,Public,Urban,No,No,Medium,Low,103,21,Female,Low,None,3
170,14,96,1,9.5,Public,Urban,Yes,Yes,Medium,Low,104,20,Female,Low,None,2
232,8,88,2,3.3,Public,Urban,Yes,Yes,Medium,High,105,16,Male,Medium,Secondary,1
138,29,90,2,3.1,Public,Urban,Yes,Yes,Medium,High,106,19,Male,Low,None,1
100,9,64,3,12.0,Public,Rural,Yes,Yes,Low,Low,107,18,Female,Low,None,1
156,13,100,1,9.4,Public,Urban,Yes,No,Medium,Medium,108,16,Male,Low,Secondary,2
222,8,82,3,4.4,Public,Rural,No,Yes,Low,Medium,109,18,Female,Medium,None,1
141,33,81,2,17.1,Public,Urban,Yes,No,Low,High,110,22,Female,Medium,None,4
215,11,69,3,7.5,Public,Urban,No,Yes,Medium,High,111,22,Female,High,Secondary,1
159,19,88,2,14.4,Public,Urban,Yes,Yes,Low,Low,112,17,Female,Medium,Secondary,1
200,30,75,2,10.6,Public,Urban,Yes,Yes,Low,High,113,21,Female,High,Tertiary,4
211,26,88,3,11.9,Public,Urban,No,No,Medium,Medium,114,15,Male,High,Secondary,3
131,15,76,4,8.2,Public,Urban,No,Yes,Medium,Low,115,17,Male,Medium,Tertiary,1
108,0,70,2,7.9,Public,Rural,No,Yes,Medium,Medium,116,22,Male,Medium,Primary,1
218,16,79,2,5.0,Public,Urban,No,No,High,Low,117,18,Female,Low,Primary,1
102,15,82,3,9.0,Private,Rural,No,Yes,Medium,High,118,21,Female,Low,Primary,1
153,11,71,2,9.3,Public,Urban,Yes,Yes,Medium,Low,119,17,Male,High,Secondary,1
123,17,74,1,1.1,Public,Urban,No,Yes,Low,High,120,18,Male,Low,Secondary,1
171,26,90,5,17.8,Private,Urban,Yes,Yes,Medium,High,121,15,Male,Low,Secondary,1
183,29,100,2,1.2,Private,Urban,Yes,No,Low,Low,122,18,Male,Medium,Secondary,1
188,10,90,2,11.3,Public,Rural,Yes,No,Medium,Medium,123,15,Female,High,Secondary,2
192,40,77,3,6.9,Public,Urban,No,No,Low,Medium,124,16,Male,High,Primary,4
245,32,85,5,10.9,Public,Rural,No,Yes,Low,High,125,18,Male,High,Secondary,4
153,18,83,1,13.8,Public,Urban,No,No,Medium,High,126,17,Female,Low,Primary,1
160,28,80,3,7.7,Public,Urban,Yes,Yes,Medium,Medium,127,21,Female,Medium,None,1
232,40,96,5,4.0,Private,Rural,Yes,Yes,Medium,High,128,22,Female,High,Tertiary,3
263,14,92,3,6.6,Public,Urban,Yes,Yes,Medium,Low,129,19,Male,High,Tertiary,2
119,13,89,1,13.4,Public,Urban,No,Yes,Medium,Low,130,17,Female,Medium,Tertiary,1
107,0,77,1,0.0,Private,Urban,No,Yes,Medium,High,131,20,Male,Medium,Primary,1
116,17,93,2,4.5,Public,Urban,Yes,No,Low,Low,132,21,Male,Low,Secondary,1
147,21,81,4,5.5,Public,Rural,Yes,Yes,Medium,High,133,19,Female,High,Tertiary,2
221,23,78,2,11.3,Private,Rural,Yes,No,Low,High,134,22,Female,High,Secondary,2
245,20,100,4,12.4,Private,Urban,Yes,No,Medium,Medium,135,17,Female,Low,Primary,3
150,0,65,1,11.7,Public,Rural,Yes,Yes,Medium,Low,136,22,Female,Low,None,1
126,19,74,1,5.0,Public,Urban,No,Yes,Low,Low,137,18,Male,High,Tertiary,1
120,28,75,2,15.6,Public,Urban,No,No,Medium,Low,138,16,Male,Medium,Secondary,1
127,10,100,4,16.0,Public,Urban,No,No,High,Medium,139,20,Female,Low,Primary,1
196,25,100,3,7.0,Public,Urban,Yes,No,Medium,High,140,18,Male,High,Tertiary,1
247,11,100,3,7.6,Public,Urban,No,Yes,High,Medium,141,15,Female,Medium,Secondary,2
234,29,85,3,13.3,Private,Urban,Yes,Yes,Medium,Medium,142,16,Female,Medium,Secondary,2
116,11,100,3,16.2,Public,Urban,Yes,Yes,High,Low,143,21,Female,Medium,Secondary,1
129,9,85,2,3.1,Private,Rural,Yes,Yes,Low,Low,144,20,Female,Medium,Tertiary,1
105,7,89,3,8.9,Public,Rural,Yes,Yes,Low,High,145,18,Male,Medium,Secondary,1
136,13,84,1,17.4,Public,Urban,No,No,Medium,Low,146,16,Female,Medium,Tertiary,1
145,21,82,4,16.9,Private,Urban,No,Yes,High,Low,147,15,Female,High,Secondary,2
198,10,83,2,11.6,Public,Rural,Yes,No,Low,High,148,20,Female,Low,Primary,1
162,15,82,2,6.4,Private,Rural,Yes,Yes,Low,Medium,149,19,Female,High,Secondary,1
131,16,87,3,7.4,Private,Urban,Yes,Yes,High,Low,150,21,Male,Low,None,1
166,9,87,3,4.3,Private,Urban,No,Yes,Low,High,151,20,Female,High,Secondary,1
224,40,87,3,17.1,Public,Rural,No,Yes,Low,Medium,152,21,Male,Low,Tertiary,3
153,10,97,3,9.1,Public,Rural,Yes,Yes,Medium,Low,153,22,Male,Medium,Secondary,1
145,11,54,1,3.0,Public,Urban,Yes,Yes,Medium,High,154,21,Female,Medium,Primary,1
231,15,93,4,2.6,Public,Rural,No,No,High,Low,155,16,Male,Medium,Secondary,2
122,32,88,3,8.7,Public,Urban,No,Yes,Medium,Medium,156,16,Male,Low,Secondary,3
226,29,98,4,0.0,Private,Urban,Yes,Yes,Medium,High,157,15,Female,Medium,Secondary,4
189,12,85,2,6.7,Public,Rural,Yes,Yes,Low,High,158,20,Male,Low,Tertiary,2
132,26,84,3,5.1,Private,Urban,Yes,Yes,Medium,Low,159,18,Female,Medium,Tertiary,1
247,27,98,3,9.0,Public,Urban,Yes,Yes,Medium,Low,160,19,Male,High,Tertiary,1
141,19,96,3,14.3,Public,Rural,No,Yes,Low,Medium,161,16,Female,Low,None,1
198,18,83,4,14.2,Private,Rural,Yes,No,High,High,162,16,Female,Medium,Secondary,2
223,17,90,3,8.5,Public,Urban,No,No,Low,Medium,163,16,Female,Low,Primary,1
106,17,96,1,11.8,Public,Rural,No,No,Medium,Medium,164,16,Male,Low,Secondary,1
144,12,62,4,19.4,Public,Urban,No,Yes,High,Low,165,22,Female,Low,None,1
207,39,80,3,14.9,Private,Urban,No,Yes,Low,Medium,166,20,Female,Medium,Primary,2
115,3,94,2,12.3,Private,Urban,Yes,Yes,Low,High,167,15,Female,Low,Primary,1
222,37,98,3,5.7,Private,Rural,Yes,No,Medium,Medium,168,16,Female,Medium,None,4
283,28,96,2,8.9,Private,Rural,Yes,Yes,Medium,Low,169,19,Male,High,Secondary,3
222,26,83,4,9.8,Private,Rural,Yes,Yes,High,Medium,170,15,Male,Medium,Tertiary,1
150,25,74,1,15.3,Public,Urban,No,Yes,Low,Low,171,20,Female,Medium,Tertiary,2
162,13,78,2,10.0,Public,Rural,Yes,Yes,High,Medium,172,22,Female,Low,None,1
121,23,96,2,3.8,Public,Rural,Yes,No,High,Low,173,16,Female,Medium,Secondary,4
185,0,79,4,9.1,Public,Urban,Yes,Yes,High,Low,174,20,Female,High,Primary,1
241,19,89,3,17.0,Private,Urban,No,Yes,Low,High,175,19,Female,Medium,Secondary,1
153,9,76,3,16.6,Public,Rural,Yes,No,Low,Medium,176,17,Male,Medium,Secondary,1
196,10,94,3,6.7,Public,Urban,No,Yes,Low,High,177,17,Female,Medium,Secondary,1
159,16,78,2,11.3,Public,Urban,No,No,Medium,Medium,178,22,Male,Low,Primary,2
204,26,85,3,10.0,Public,Urban,Yes,No,Low,Medium,179,19,Male,Low,Secondary,2
105,20,64,2,13.9,Public,Urban,No,Yes,Medium,Low,180,22,Male,High,Secondary,2
229,26,72,1,6.8,Public,Rural,Yes,Yes,Medium,Medium,181,16,Female,Medium,Secondary,1
154,12,83,2,11.7,Public,Rural,Yes,No,Medium,Low,182,16,Male,Medium,Primary,1
215,26,74,3,10.5,Public,Urban,No,Yes,Medium,High,183,22,Male,Medium,Secondary,3
129,17,100,2,14.8,Private,Urban,Yes,Yes,Medium,Low,184,15,Female,Low,None,1
268,36,71,3,4.3,Public,Rural,Yes,Yes,Low,Low,185,16,Female,Medium,Primary,2
154,25,75,2,11.3,Public,Rural,No,No,Low,Low,186,15,Female,Medium,Secondary,2
225,24,88,2,6.3,Public,Urban,Yes,Yes,Medium,Medium,187,16,Female,High,Secondary,3
122,7,78,2,16.7,Public,Urban,No,Yes,Medium,High,188,20,Male,High,None,1
111,8,70,2,1.8,Public,Rural,Yes,Yes,Low,Low,189,18,Female,Low,Secondary,1
157,13,74,2,3.6,Public,Urban,Yes,Yes,High,Medium,190,18,Male,Low,Secondary,2
133,13,72,3,20.0,Public,Urban,No,No,Medium,Low,191,19,Female,Medium,Tertiary,1
247,28,86,3,13.3,Private,Urban,Yes,No,Low,Medium,192,21,Male,Low,Tertiary,2
244,32,100,2,6.8,Public,Urban,Yes,Yes,Medium,Low,193,21,Male,Medium,Primary,1
215,23,88,1,16.3,Public,Urban,No,Yes,Medium,Medium,194,21,Female,Low,None,1
163,19,95,5,10.8,Public,Rural,No,Yes,Low,Medium,195,20,Male,Low,Primary,3
121,16,86,1,8.4,Public,Rural,No,Yes,Medium,Low,196,21,Female,Low,Secondary,1
166,14,94,2,11.0,Public,Urban,No,Yes,High,Medium,197,18,Male,Low,None,2
215,15,60,3,6.8,Private,Urban,No,Yes,Medium,Medium,198,21,Male,Low,Primary,1
221,8,84,3,13.0,Public,Urban,No,Yes,High,Medium,199,17,Male,High,Tertiary,1
263,21,100,4,20.0,Private,Rural,No,No,Medium,Medium,200,17,Female,Low,Primary,2
246,30,83,3,4.2,Public,Rural,No,Yes,Medium,High,201,21,Female,High,Tertiary,4
295,23,100,3,3.7,Private,Urban,Yes,No,Medium,Medium,202,21,Male,High,Tertiary,2
168,17,98,3,0.0,Private,Rural,Yes,No,Low,High,203,15,Male,Low,Primary,1
189,25,81,2,20.0,Public,Rural,Yes,No,Low,High,204,22,Female,High,Tertiary,1
184,25,80,3,6.0,Public,Urban,No,Yes,Medium,Medium,205,17,Female,Medium,Primary,1
132,6,72,3,20.0,Public,Urban,Yes,No,Medium,High,206,16,Female,Low,None,1
122,24,75,2,1.6,Public,Urban,Yes,Yes,Medium,High,207,15,Female,Low,Primary,2
204,32,74,3,7.2,Public,Urban,Yes,Yes,Medium,Low,208,20,Male,Medium,Tertiary,3
151,7,87,3,15.1,Private,Urban,Yes,Yes,Low,High,209,18,Female,High,Secondary,1
118,7,67,3,6.6,Public,Urban,Yes,Yes,Low,Low,210,21,Female,Low,Secondary,1
100,24,85,4,13.6,Public,Urban,No,No,Low,Low,211,18,Male,Low,Secondary,1
103,12,86,1,9.2,Private,Rural,No,Yes,Low,High,212,17,Female,Medium,Secondary,1
179,0,69,3,8.9,Public,Urban,Yes,Yes,High,Low,213,17,Female,Low,Primary,1
191,8,100,3,0.9,Public,Urban,No,Yes,Medium,Medium,214,16,Male,Medium,Primary,2
190,19,90,2,0.5,Private,Urban,Yes,Yes,Low,High,215,18,Male,Medium,Secondary,1
111,4,87,2,13.7,Public,Urban,No,Yes,Medium,Low,216,21,Male,Low,None,1
132,12,74,3,5.0,Public,Rural,Yes,Yes,Medium,Low,217,22,Female,Low,None,1
150,18,89,2,8.4,Private,Urban,Yes,No,Medium,Medium,218,17,Male,Medium,Tertiary,2
111,28,91,3,17.9,Public,Urban,No,No,High,Medium,219,18,Male,Medium,Primary,1
132,13,81,3,14.0,Public,Rural,No,Yes,Medium,Medium,220,18,Male,Medium,Tertiary,1
142,27,100,1,0.0,Public,Rural,No,Yes,High,High,221,17,Female,Medium,Secondary,1
212,36,87,3,7.7,Public,Rural,Yes,No,High,Low,222,18,Male,Medium,Secondary,3
245,38,100,3,4.1,Public,Urban,Yes,Yes,Low,Medium,223,17,Female,High,Tertiary,4
299,33,95,3,9.7,Public,Urban,Yes,Yes,Low,High,224,21,Female,Low,Secondary,2
180,2,90,2,12.7,Public,Urban,No,Yes,Medium,Medium,225,21,Male,Medium,Secondary,1
192,25,70,2,9.7,Public,Urban,No,Yes,High,Low,226,19,Female,Medium,Secondary,3
189,30,89,3,11.2,Public,Urban,No,Yes,High,Low,227,17,Female,Medium,Secondary,3
106,13,73,3,18.4,Public,Urban,No,Yes,Medium,Low,228,18,Female,High,Tertiary,1
249,40,81,2,14.3,Public,Rural,Yes,No,Medium,High,229,19,Male,Medium,Primary,4
128,24,98,3,6.9,Public,Urban,No,No,Medium,High,230,21,Female,Medium,Secondary,3
274,33,89,2,10.9,Public,Urban,Yes,No,High,Low,231,18,Female,High,Secondary,2
135,26,72,1,10.3,Public,Rural,No,Yes,Low,Low,232,18,Female,Low,Primary,1
208,25,83,2,8.4,Public,Rural,No,Yes,Low,Medium,233,22,Female,Low,None,3
198,0,73,4,8.1,Public,Rural,Yes,Yes,Medium,High,234,19,Male,High,Secondary,1
135,12,95,3,4.5,Public,Urban,Yes,Yes,Medium,High,235,20,Female,Low,Tertiary,1
195,32,79,3,15.4,Public,Urban,No,Yes,Medium,Medium,236,16,Female,Medium,Secondary,4
161,11,88,2,7.2,Public,Urban,Yes,No,Low,Low,237,19,Male,Medium,Secondary,1
111,12,93,2,6.8,Public,Rural,No,No,Low,Low,238,21,Male,Low,None,2
112,5,76,2,5.6,Private,Rural,Yes,No,Medium,Low,239,20,Female,Medium,Secondary,1
198,38,91,2,17.0,Public,Urban,Yes,Yes,High,High,240,20,Female,Low,Secondary,3
216,38,77,2,8.2,Public,Rural,Yes,No,High,Low,241,18,Female,Medium,Secondary,4
183,12,100,2,1.1,Public,Urban,No,Yes,Medium,High,242,18,Female,Medium,Secondary,2
185,22,94,1,10.4,Public,Rural,Yes,No,High,Low,243,21,Male,High,Tertiary,1
118,9,79,1,8.1,Public,Rural,Yes,No,Low,Medium,244,16,Male,Medium,Secondary,1
111,20,73,2,6.7,Private,Urban,No,No,High,Medium,245,22,Female,Medium,Primary,1
118,20,80,2,15.8,Public,Urban,Yes,Yes,Medium,Medium,246,19,Male,Low,None,1
206,30,83,2,0.3,Private,Rural,Yes,No,High,High,247,17,Female,Medium,Primary,3
194,24,100,2,7.2,Public,Rural,Yes,Yes,Low,High,248,22,Female,Medium,Primary,2
182,40,73,4,7.2,Public,Rural,No,Yes,High,Low,249,18,Male,Low,None,3
115,5,82,1,19.1,Public,Rural,Yes,Yes,Medium,Low,250,22,Male,High,Tertiary,1
198,6,86,3,5.7,Public,Urban,Yes,Yes,Low,High,251,19,Female,Low,None,1
151,14,82,2,7.6,Public,Urban,No,Yes,Low,Low,252,15,Male,High,Tertiary,1
199,7,85,3,1.4,Public,Urban,No,Yes,Low,Medium,253,18,Female,Medium,Secondary,1
115,1,79,3,12.2,Public,Urban,No,No,Low,High,254,17,Male,High,Secondary,1
152,9,91,1,15.3,Public,Rural,No,Yes,Low,High,255,18,Male,Medium,None,1
138,8,88,2,13.9,Public,Urban,No,Yes,Medium,Medium,256,20,Female,Medium,Primary,1
104,5,84,3,13.3,Public,Urban,No,No,Medium,Low,257,22,Female,Medium,Tertiary,1
192,26,57,4,15.5,Public,Urban,Yes,Yes,High,High,258,19,Male,Medium,Secondary,2
117,10,84,2,4.0,Public,Urban,No,No,Low,High,259,16,Female,Low,None,1
108,12,64,2,3.9,Public,Urban,No,Yes,Low,Medium,260,15,Male,Medium,Secondary,1
116,23,87,4,11.6,Public,Urban,Yes,Yes,Low,Low,261,17,Male,High,Primary,1
206,15,100,4,11.6,Public,Urban,No,Yes,Low,Medium,262,21,Male,High,Tertiary,2
139,14,73,2,19.6,Public,Urban,No,No,High,Medium,263,18,Female,High,Tertiary,2
249,29,87,2,5.6,Public,Urban,No,Yes,Medium,High,264,17,Male,Medium,Tertiary,4
165,1,78,3,1.6,Public,Rural,Yes,Yes,Medium,Low,265,16,Male,Medium,Tertiary,1
236,3,100,2,12.6,Public,Urban,No,No,Low,Medium,266,15,Male,High,Tertiary,2
207,25,87,4,10.2,Public,Rural,No,Yes,High,High,267,22,Female,Low,None,4
164,23,100,3,7.9,Public,Urban,Yes,Yes,High,Medium,268,17,Female,Medium,Tertiary,2
116,33,85,3,1.8,Private,Urban,No,Yes,Medium,Medium,269,19,Female,Medium,Secondary,4
188,22,87,2,8.8,Public,Urban,Yes,Yes,High,Medium,270,19,Female,Low,Secondary,3
135,24,82,2,9.4,Public,Urban,No,Yes,Low,Medium,271,17,Female,Medium,Secondary,3
130,14,89,4,9.5,Private,Urban,Yes,Yes,Low,Low,272,22,Male,Low,None,1
153,21,67,2,17.5,Private,Rural,Yes,No,High,Low,273,15,Female,Medium,None,1
173,35,85,2,17.4,Public,Urban,Yes,Yes,Medium,Medium,274,18,Female,Medium,Secondary,3
138,0,81,2,14.5,Public,Urban,Yes,No,Low,Low,275,19,Female,Medium,Secondary,1
144,21,89,2,5.1,Public,Urban,Yes,No,Low,Medium,276,18,Male,Medium,Tertiary,2
277,40,89,2,10.6,Public,Rural,Yes,Yes,Medium,High,277,18,Female,High,Primary,4
119,18,71,2,13.3,Public,Urban,No,No,Medium,Medium,278,17,Male,High,Tertiary,1
240,40,88,2,12.1,Public,Urban,Yes,Yes,High,High,279,19,Male,Medium,Secondary,3
102,8,70,3,11.5,Public,Rural,No,Yes,Low,Low,280,17,Female,Medium,Secondary,1
161,18,65,2,1.4,Public,Urban,Yes,Yes,Medium,Low,281,16,Female,Low,Primary,3
124,16,88,1,11.3,Public,Rural,No,No,Medium,Low,282,18,Male,High,Secondary,1
137,0,87,1,14.4,Public,Urban,Yes,Yes,Medium,Medium,283,15,Male,Medium,Primary,1
